"NOT GRASSROOTS: #Ferguson Protestors PAID Over $5K To Attack Police, Instigate Violence And Disrupt",0
New Polish PM: must defend national interest in debate on EU future,1
" Missouri Republican Calls Getting Pregnant The ‘Silver Lining’ Of Rape, Pushes Abortion Ban",0
U.S. judge questions government on Trump's latest travel ban,1
"Farah breaks Moorcroft's 3,000m British record",1
 WATCH: Reliable Sources Explains ‘Trumpbart’ And How It Will Shape The Election (VIDEO),0
 Chrissy Teigen Just Told Fox News To F*ck The F*ck Off In The Best Way Possible (TWEETS),0
 Leaked Email Proves Trump Officials Aware Russia Had ‘Thrown The USA Election’ To Trump,0
 Senate Democrats FORCE GOP To Reveal How They’ll F*CK Americans Over During Midnight Vote,0
Analyst View: Democrat Jones wins Alabama U.S. Senate seat in blow to Trump,1
U.S. extends some Iran sanctions relief under nuclear deal,1
Clinton slams Trump for comments on offensive against Islamic State,1
South Africa's unruly ANC branches kick off race to succeed Zuma,1
New York City budget boss to state: We're not a 'piggy bank',1
 Trump Refuses To Say ‘Radical Islamic Terrorism’ In Speech And Gets GUTTED For Being A Hypocrite,0
 Trump’s America: Jewish Centers Rattled With Bomb Threats,0
"China's Guangdong gets new party boss, former leader likely to be promoted",1
Melania Trump Dedicates Garden At Children’s Hospital…Bitter Lefties Throw Out Nasty Comments,0
NFL STAR Delivers TOUGH Message About “Exterminating Blacks” For Any Voter Who Supports Hillary [VIDEO],0
U.N. experts urge Aung San Suu Kyi to meet persecuted Rohingya,1
Congress subcommittee grills U.S. banks regulator about data breaches,1
UK PM May to make Brexit speech in Italy on Sept. 22: spokesman,1
LEFTIST DES MOINES REGISTER TELLS DONALD TO DROP OUT OF RACE…TRUMP DENIES THEM PRESS PASSES TO EVENT…Forces Them Sit With Packed Crowd Of Supporters,0
China's Chongqing vows purge of former leader's 'vile influence',1
Online ads offer legal option for U.S. election meddling,1
Migrant deaths in the Sahara likely twice Mediterranean toll: U.N.,1
 Sean Hannity Is Totally Butthurt Over This Onion Picture,0
"U.S. envoy Haley's blunt diplomacy targets South Sudan, Congo",1
Senior Saudi prince freed in $1 billion settlement agreement: official,1
 Hillary’s Reaction To Her Cubbies FINALLY Winning The World Series Is PRICELESS (IMAGES),0
 It’s Official: Women’s March Overtakes Inauguration Attendance,0
PRESIDENT TRUMP’S Sr. Staff Member Omarosa Manigault Marries Democrat Pastor At Trump’s DC Hotel Amid Death Threats [VIDEO],0
U.S. says payment to Iran used as leverage for prisoners' release,1
"In 2017, America’s liberal abortion agenda looks a lot like Nazi Eugenics",0
 WHOA: Steve Bannon Tricked Trump Into Handing Him An INSANE Amount Of Power,0
EU's Juncker says assumes won't end up with 'no deal' on Brexit,1
Republican money class fears stigma of becoming Trump donors,1
"Thai junta leader, backers fuel suspicions of plans to stay in power",1
Mexico temporarily suspends operations at key refinery after quake,1
 WATCH: Hillary Smacks Trump With His Own Words On The Issues In New Video Series,0
France's Macron backs Spain's constitutional unity in call to PM Rajoy,1
" Oregon Militant Flips Over His Vehicle, Breaks More Laws – Guess What The Cops Do (IMAGE)",0
"Factbox: 'Carpet-bomb' ISIS, audit the Fed. What a President Cruz would do",1
TPP trade pact in disarray as Canada holds up talks,1
Navy SEAL Tells Katy Perry: “Go to H*ll” [Video],0
"Trump foreign policies could hurt, help his business empire",1
 Conservatives Are Now Arguing We Shouldn’t Be Able To Vote For The President At All,0
"France's Macron tells Iran, Israel leaders of need to preserve Lebanon's stability",1
U.S. puts more pressure on Pakistan to help with Afghan war,1
U.S. ELECTIONS May Already Be In Serious Jeopardy : ACORN Gives OH Man Cigarettes And Cash To Register To Vote 72 Times…Several More Horror Stories,0
 Lawmakers Want Answers About Jared Kushner’s HUGE Debt And Meeting With Russian Banker,0
Trump's body language during debate raises social media eyebrows,1
WHY IS THE PRESENCE OF RUSSIAN AIRCRAFT FIGHTER JETS NEAR U.S. SHORES INCREASING?,0
 Ted Cruz Gets OWNED By Fox Host For Whining About Tough Questions (VIDEO),0
Highlights: The Trump presidency on March 21 at 6:14 p.m. EDT,1
"TUCKER CARLSON Tells Liberal Guest: National Endowment for the Arts Is In Effect ‘Welfare for Rich, Liberal Elites’ [VIDEO]",0
Iraq's Kurdish parliament backs Sept 25 independence referendum,1
"Zach Johnson, Pieters share lead at Firestone",1
WHOA! WATCH Former Teen Hollywood Actor: “I Can Tell You The #1 Problem In Hollywood Was and IS and ALWAYS Will Be Pedophilia”,0
"CNN in a Panic Over Assad Success, Collapse of ‘White Helmets’ Narrative, Fumbling Over ‘Humanitarian Organizations’",0
WOW! IS SEAN HANNITY’S Job With FOX News In Jeopardy Over Seth Rich Investigation?,0
Must see TV: why gutting NAFTA unlikely to create U.S. jobs,1
"FOX NEWS FREEFALL? BILL O’REILLY Loses Kids For Allegedly Choking Wife…Trump Hater, Megyn Kelly Swims In Hollywood Cesspool",0
Trump to nominate Elaine Duke as Homeland Security deputy secretary,1
“BLACK SKIN PRIVILEGE” Why These Two Well Known Writers Say It’s A Real Thing [VIDEO],0
"(VIDEO) For the Love of Winston Smith, “Let The Truth Be Told”",0
"Trump ‘Diversity Council’ Member Threatens to Quit If Trump Ends DACA…Bye, Bye! [Video]",0
Rolling back Taliban grip on Afghan territory key aim of Trump plan: official,1
#BoycottJemeleHill #ESPN Gives Racist Pig Host Slap On the Wrist For Calling Trump and Kid Rock “White Supremacists” [VIDEO],0
" WATCH: Trump Aide Asks CRAZIEST Question Ever About Hillary In Desperate Attempt To Defend Trump, Russia",0
